MT/HT Ventes,MT/HT Abonnes,BT Ventes,BT Abonnes,Total Ventes,Total Abonnes,Production Thermique PRIVEE,Production Thermique JIRAMA,Production Systeme solaire JIRAMA,Production Hydraulique PRIVEE,Production Hydraulique JIRAMA,Production Brute Totale,Pointe a la production,year,month,Production Thermique PRIVEE - location,Production Thermique PRIVEE - achat,Production Hydraulique PRIVEE - achat
1730521,67,3941959,36104,5672480,36171,1354142,2120834,0,0,3793430,7268406,17537,2008,1,,,
1735028,66,3438018,34871,5173046,34937,2672506,1105403,0,0,1711592,5489501,16823,2008,2,,,
1259582,71,3203647,36108,4463229,36179,3259505,871938,0,0,2870262,7001705,18537,2008,3,,,
1695445,68,3405435,36037,5100880,36105,2940048,819140,0,0,3552600,7311788,19697,2008,4,,,
1692089,65,3473713,34191,5165802,34256,2881464,820439,0,0,3664300,7366203,19783,2008,5,,,
1916034,73,3519922,35992,5435956,36065,2447071,861040,0,0,3687799,6995910,18947,2008,6,,,
1948745,74,3661515,36003,5610260,36077,2517575,1112877,0,0,3799500,7429952,18614,2008,7,,,
1992244,72,3678449,35991,5670693,36063,2453887,1086501,0,0,3888182,7428570,19150,2008,8,,,
1945758,70,3843541,35980,5789299,36050,2881052,1139501,0,0,3528600,7549153,19123,2008,9,,,
2293929,74,3821487,35873,6115416,35947,3298715,1128516,0,0,3233400,7660631,19332,2008,10,,,
1683893,77,3703426,35889,5387319,35966,3505210,1080947,0,0,3638858,8225015,20838,2008,11,,,
2997027,68,4085465,35846,7082492,35914,3344215,1235498,0,0,3842000,8421713,21257,2008,12,,,
2003198,69,4381669,35884,6384867,35953,3363133,1219351,0,0,3355914,7938398,21252,2009,1,,,
1829170,69,4294641,35899,6123811,35968,2683866,1023393,0,0,3053300,6760559,20483,2009,2,,,
1948017,75,3401195,35994,5349212,36069,3149286,1248725,0,0,3498362,7896374,20654,2009,3,,,
1870333,68,3908199,36030,5778532,36098,2443267,1096999,0,0,3083136,6623402,19460,2009,4,,,
1225788,68,3726320,36034,4952108,36102,2418700,1229585,0,0,3697180,7345465,20335,2009,5,,,
1529419,66,3749419,36052,5278838,36118,2577432,1216903,0,0,3502070,7296405,19928,2009,6,,,
1595662,66,3810770,36089,5406432,36155,2577906,1249265,0,0,3582886,7410057,19915,2009,7,,,
1715565,65,3578159,36232,5293724,36297,2464139,1116051,0,0,3467556,7047746,19954,2009,8,,,
1052794,65,3943899,36254,4996693,36319,2606956,992667,0,0,3197776,6797399,19773,2009,9,,,
1076455,63,3793253,36457,4869708,36520,2825256,1102531,0,0,3536582,7464369,20468,2009,10,,,
1148891,62,4007756,36726,5156647,36788,3263465,1998963,0,0,2304690,7567118,21009,2009,11,,,
1343194,61,4003604,36856,5346798,36917,5964874,1503996,0,0,815222,8284093,21684,2009,12,,,
1268378,65,4410093,37079,5678471,37144,3369111,1401716,0,0,3026720,7797548,21984,2010,1,,,
1166048,70,4033086,37164,5199134,37234,2911204,1708539,0,0,2551300,7171044,22025,2010,2,,,
1073220,67,4117134,37299,5190354,37366,4087594,2028032,0,0,1870900,7986526,22107,2010,3,,,
1295137,67,4151800,37473,5446937,37540,3868191,2066973,0,0,2426500,8361664,22185,2010,4,,,
1332483,66,4150783,37558,5483266,37624,3699416,1849239,0,0,2295300,7843955,21767,2010,5,,,
1264712,66,4524066,39779,5788778,39845,3325810,1851719,0,0,2468200,7645729,21810,2010,6,,,
1205405,67,4468634,37652,5674039,37719,3523819,2229982,0,0,2350300,8104101,21269,2010,7,,,
1173293,69,3653576,37703,4826869,37772,3709500,2387326,0,78510,1772900,7948236,22324,2010,8,,,
1376833,69,4123855,37745,5500688,37814,4066166,1277779,0,99147,2688500,8131592,22702,2010,9,,,
1577013,71,4230542,37824,5807555,37895,4362773,1162689,0,169241,3124200,8818903,22622,2010,10,,,
1408631,73,4268870,37973,5677501,38046,3999951,1103976,0,221290,3499300,8824517,23336,2010,11,,,
1921010,73,4573751,38204,6494761,38277,4737280,1255357,0,247235,3476400,9716272,24142,2010,12,,,
1780315,70,4820274,38346,6600589,38416,,1240516,0,,2602100,9277010,23389,2011,1,5197011,0,237383
1622855,76,4572118,38507,6194973,38583,,1427646,0,,1884100,8285043,23761,2011,2,4772354,0,200943
1428370,79,4568684,38566,5997054,38645,,1801227,0,,2071100,9627563,24744,2011,3,5529050,0,226186
1799174,74,4805598,42044,6604772,42118,,2004924,0,,2825300,9810246,24934,2011,4,4757837,0,222185
2022538,79,4822047,38892,6844585,38971,,1871538,0,,3589800,9969945,27712,2011,5,4285484,0,223123
1760575,74,4523216,39279,6283791,39353,,2462621,0,,3385800,10741172,29181,2011,6,4674069,0,218682
1848776,78,4720111,39530,6568887,39608,,1849811,0,,2767000,9811456,27630,2011,7,4971126,0,223519
2067880,79,4685310,42979,6753190,43058,,2957853,0,,3203900,11869059,30767,2011,8,5483437,0,223869
